reviewId,content,score
109ade9e-d2da-45ed-b9a5-5849799339c6,Amezing 😘,5
d4316e08-67bc-4626-9ef0-79c7c58b423e,I love ❤️,4
db4e76ea-e68e-4713-800d-99a08795c037,O..you 9oo 9,2
8b2999c4-7e69-48fd-88fd-0c755a7ca23c,Smoothly,5
75bc1b16-2e0c-420f-9156-dc96918646d3,Sidna,1
90596e6b-a539-4d65-badd-86e96242fd80,Cool application,5
f992c3bd-3074-40c5-8c3f-38f6a4603fdf,Ogfar,5
88e0d9d5-886b-49a1-b87d-cefc30c1a116,Rupeshkumar 🩷🩷🩷💔💔💔💔❤‍🩹❤‍🩹❤‍🩹,5
16a2d54b-5375-4f32-b351-02c7b169e347,TX tuf target of the other hand the other,3
76fc7dd4-a865-4528-9524-c1b8c38b7d14,"App is good, but take so much space. Need to improve & solve this problem.",4
8a109af8-c977-4040-a286-57f7f128769b,It's really amazing but not really vide,3
dde7dc0d-9d31-41be-99ab-c95ba29557f0,I can't create my page on Facebook continuously I m trying for 2 week but not successful.... I also complained to Facebook 3 to 4 time but no response.... I think Facebook server is very down,1
68ac1f17-79e0-4ebc-ac6a-483d052db257,Tanga ang gumawa,1
2a25f5c2-50d1-41bc-acce-590eff91c2bb,Excellent,5
e097d376-70d8-40ee-a9df-c08b7513275c,Got hacked had to make a new one.. Reported my profile and they didn't see anything wrong.. person who hacked is asking people for money.,2
d3fc00e5-e12d-4c85-91cc-37da5fa2424e,Very good 👍 app,5
187074f9-ec2e-4e9e-9482-b9cc701b05d5,Nice,5
84dad629-9bf9-4ca4-a055-d10602752e97,This app help free fire,5
11a6999a-1381-4031-87fb-bdafc36a2b87,Ilove it apps,5
f71bb02d-0866-4cb7-9bae-4cb4d819c2ca,Okay,3
e758f38c-9e8f-4f6c-894c-ac31b4af0374,Ķमक,4
515bf8bf-11b1-4187-aab3-35b24ece4388,Facebook views,5
9c9b07ea-542a-4855-912b-f804da84fb9a,Aawsome,5
9bd66970-a3b0-470a-844f-9dfeef820a1a,Full of people getting hacked/tagging others with porn links. I will be staying off as much as possible,1
fe0c583e-4101-42b9-ac84-7a2f6ae469dd,good,5
193886c0-0fac-4537-b9a9-50fe33a39fee,gg,1
18ff27f2-cf81-4ac6-ab2b-bc2120ce9b12,Good identity Facebook,5
9ae016d2-716f-4994-953c-e51f7d465d3c,Great app but adding new friends restrictions have increased greatly!,5
f6089324-9fa7-4089-ba3d-14bfa38f33de,Instead of showing my friend or liked page's post my wall is full of suggestions page and post,1
da679890-64d6-41ae-9cf2-fc33c3d0f69c,Aanjay,5
222d114f-f7a6-46de-8ff4-a16e09815206,Good,4
7d7d230d-6600-40bf-a08b-9f21ec651e05,Nice app that's great facebook,5
05ad9e0c-44eb-4c54-9868-b8f5c8ce8211,👍👍👍,5
7b08ffd0-d63b-4564-9d0a-dba0672e3a0b,𝑱𝒆𝒏𝒏𝒊𝒇𝒆𝒓 𝒎𝒐𝒍𝒍𝒆𝒍,5
1b1d75ce-eaa2-44dd-9590-0ce3a797d3a5,𝑛𝑜𝑡 𝑔𝑜𝑜𝑑,5
ae295150-bfd9-4039-b9eb-492d7b44b470,I like using app reason why is because it has a good grafic and it is fast,2
3994417b-f1c9-4069-bf7f-d88679cf04d0,Nice apps,5
21c50c9a-8932-4151-b48b-fa4c38143384,💜,4
14b8f28e-f466-41b2-a966-ce8d2df84038,Too many ads Very annoying interruptions that detract from games being played. FIX IT!!!,2
ca43bb57-c32f-45e8-928a-a3b8f27466f0,liked it,5
5d7a8487-3aeb-4106-98ae-48ea1478a851,Thanks my fb family for allowing me to come back. I will not put anything violent or other things. But,4
6e458450-2b43-48e1-81ff-8fd43ead72a5,Tt,2
6c5d9874-8652-4609-b838-7d3ca40527a1,good,5
36ccedce-d820-4ee4-ac71-502a9d304a40,Leaks my data to other Companies Like shopping apps,1
ac570d57-21fe-4b5f-9888-14441dafe131,"Meta Platforms, Inc.,[14][15] formerly named Facebook, Inc., and TheFacebook, Inc.,[16] is an American multinational technology conglomerate based in Menlo Park, California. The company owns Facebook, Instagram, and WhatsApp, among other products and services.[17] Meta is one of the world's most valuable companies and among the ten largest publicly traded corporations in the United States.[18] It is considered one of the Big Five American information technology companies, alongside Alphabet (Goo",5
0c8d4661-771b-4131-aa69-2fb31363e117,I hate it when nude contents appear in my feed. Please solve this.,1
4fdd08b0-baa6-4247-8c31-3facfde322e9,I dont have layout even i already enable all the permission and update many times also uninstall it many times. Dissapointed user here,1
85db01c5-b6bf-4447-b3d0-32183ba3fccf,so good,5
31c55120-de0c-4a57-b34a-f19ab10fb6fd,Help hello,5
9a4c25eb-c143-45e5-87df-baf77b66c9d6,Sing,2
a45139d7-6530-4f00-9363-cf0bc5c5723e,Fun gameplay 😉,5
d8cbea19-1758-4394-9659-e5c5e184aa14,Md Aarif,2
f57872c0-8eee-427c-8c46-00a49f860073,Super se bhi upar 🥰🥰🥰🥰,5
9797aefc-5acd-4d00-adb6-f68beb0b4bb1,Ff,5
e01cfa02-f752-428a-95ed-f42d9a4d76ea,This so disgusting social media app. The Facebook and Instagram team permanently disabled my accounts for no reason. 💔 I haven't used my Instagram and Facebook account since 2 years.,1
499eb358-64c0-4da6-81b6-e9448c777315,Facebook is fake account and my all information and storage have been deleted I hate meta,1
916b9ccc-7fd8-41e7-8329-f2351560fc36,Very good Facebook account if nice,1
8232de02-9baa-4ad5-9089-88cb093c7df7,AMAZING,5
be47aca0-7cca-4af8-a2e2-7557f40a67fc,Keep restricting my account,5
